client_id	path	sentence	up_votes	down_votes	age	gender	accent	locale	segment
89fa8146b2c07e3e2fe2bbf3852ed8b22a625e383df7eb7225688c8ca9ecc3a151cdb4447121c0a927b1e01eb6471c855f06accb80f1ec0fac9e257c03286895	common_voice_fr_21982258.mp3	Firefox	2	0	teens	male	france	fr	Benchmark
89fa8146b2c07e3e2fe2bbf3852ed8b22a625e383df7eb7225688c8ca9ecc3a151cdb4447121c0a927b1e01eb6471c855f06accb80f1ec0fac9e257c03286895	common_voice_fr_21982260.mp3	cinq	3	0	teens	male	france	fr	Benchmark
89fa8146b2c07e3e2fe2bbf3852ed8b22a625e383df7eb7225688c8ca9ecc3a151cdb4447121c0a927b1e01eb6471c855f06accb80f1ec0fac9e257c03286895	common_voice_fr_21982262.mp3	trois	3	0	teens	male	france	fr	Benchmark
89fa8146b2c07e3e2fe2bbf3852ed8b22a625e383df7eb7225688c8ca9ecc3a151cdb4447121c0a927b1e01eb6471c855f06accb80f1ec0fac9e257c03286895	common_voice_fr_21982265.mp3	deux	3	2	teens	male	france	fr	Benchmark
89fa8146b2c07e3e2fe2bbf3852ed8b22a625e383df7eb7225688c8ca9ecc3a151cdb4447121c0a927b1e01eb6471c855f06accb80f1ec0fac9e257c03286895	common_voice_fr_21982266.mp3	sept	2	0	teens	male	france	fr	Benchmark
89fa8146b2c07e3e2fe2bbf3852ed8b22a625e383df7eb7225688c8ca9ecc3a151cdb4447121c0a927b1e01eb6471c855f06accb80f1ec0fac9e257c03286895	common_voice_fr_21982432.mp3	non	3	0	teens	male	france	fr	Benchmark
89fa8146b2c07e3e2fe2bbf3852ed8b22a625e383df7eb7225688c8ca9ecc3a151cdb4447121c0a927b1e01eb6471c855f06accb80f1ec0fac9e257c03286895	common_voice_fr_21982433.mp3	neuf	4	0	teens	male	france	fr	Benchmark
89fa8146b2c07e3e2fe2bbf3852ed8b22a625e383df7eb7225688c8ca9ecc3a151cdb4447121c0a927b1e01eb6471c855f06accb80f1ec0fac9e257c03286895	common_voice_fr_21982434.mp3	huit	3	0	teens	male	france	fr	Benchmark
89fa8146b2c07e3e2fe2bbf3852ed8b22a625e383df7eb7225688c8ca9ecc3a151cdb4447121c0a927b1e01eb6471c855f06accb80f1ec0fac9e257c03286895	common_voice_fr_21982436.mp3	un	4	1	teens	male	france	fr	Benchmark
89fa8146b2c07e3e2fe2bbf3852ed8b22a625e383df7eb7225688c8ca9ecc3a151cdb4447121c0a927b1e01eb6471c855f06accb80f1ec0fac9e257c03286895	common_voice_fr_21982502.mp3	quatre	2	0	teens	male	france	fr	Benchmark
89fa8146b2c07e3e2fe2bbf3852ed8b22a625e383df7eb7225688c8ca9ecc3a151cdb4447121c0a927b1e01eb6471c855f06accb80f1ec0fac9e257c03286895	common_voice_fr_21982503.mp3	oui	3	0	teens	male	france	fr	Benchmark
