client_id	path	sentence	up_votes	down_votes	age	gender	accent	locale	segment
02ccda0cd258d89228fc66cb072eb9bafbb1ae9f39dc8b507d7fdfc1511582cf412ce885ac6e4759b966ef6ff97bb161fb5f16a8f3ec4218f15adfb42bceb3b6	common_voice_fr_23890678.mp3	huit	2	0				fr	Benchmark
05a87054181791477a299a08fc35a6ff0c53250cae313e9fbdbf083a6b6b9a3acbb8e22d4ab53a4e95a5eb1289f8f546e9cf920dca65b2424d8f1c8d600ab879	common_voice_fr_22108074.mp3	zéro	2	0				fr	Benchmark
06c9c9e703dfa759edf4836936b42a07afd1021cedb06c2a92e385c9263f054f59c1a1b5d2a74c7094729cc3c855db8d281cf9319e155c8fedef664e5a495bd9	common_voice_fr_22098482.mp3	trois	2	0				fr	Benchmark
07a7db773acd156dd0b7fdc32f6b5eda9b32ffa1b3aee71524524c185ee92da837c66d935fd4ed2733dca2576ff1f74b3adf5129e149793e631dab02aa57c051	common_voice_fr_21955578.mp3	quatre	6	3				fr	Benchmark
0eb85c7dcb9b7ca2caec05a0dbbf6ee983cfab19164daca2e17aca980846d561500f72aca21907a1e7629c8101c371f6aa8ddfe40fd2ff43f9073d7d9231a0d6	common_voice_fr_22157149.mp3	Firefox	3	1				fr	Benchmark
0fd272ccb3c89a58b5b0da9ac8c56414156d292ae63e1fb57c6b3eb4c78b6ef91f68d1ec4bfe542a1025ce7e5d96371c319be68ef4a4f1b522911807bcf4a52f	common_voice_fr_21967748.mp3	sept	2	0				fr	Benchmark
15502df53d4ce5453386ff9082c82664e2e17c91efdc7539e72ea3f49fdd6fb0513c0382d0f393d78f7ce8d282359da88557cf549f9c06cdd25ad0a40ad4a035	common_voice_fr_22219035.mp3	zéro	2	0				fr	Benchmark
19e02a23be4ea3976c1b9897eaea8b51a5cd95630c9332b77ea8d48c20e01f9ecbb3883cb38a820f2188deabeff9d1df525b30495ec0562be0406ea7d189797b	common_voice_fr_22459440.mp3	cinq	2	0				fr	Benchmark
1b2637260d95fef554f5d6543b22c69e095a93ec81d4ceff628626724d104fab887ac023b0e72543e06f687146a7d8171bd6b1624cdf7fec47da10a996b3d82b	common_voice_fr_22064544.mp3	huit	3	1				fr	Benchmark
201e57b7d5ee203876c15de026f4f1f104ba12481ed1d2a2bf6276582ecbce9f009e7739a3195f2e5219c1ed28983bf8b4f20c74e6878b63c9b3fcfdd030fceb	common_voice_fr_22042510.mp3	neuf	2	0				fr	Benchmark
20c6dcf615339a87052b4824bdee5065e68cf82a5ee3644f423c5b673e23bff7dc82158ca88592101d3590ed89786c991ab7a4f71ec6877e5037792798a609ee	common_voice_fr_22140697.mp3	huit	3	0				fr	Benchmark
22ff0c5177eec6a27dfcc1ed9aebcaaa9e2dde5c2315c7dbdae96582283f9267b1de86921d099fb55cf1e120be7aea2bff1065c99a406549a97b7b99a11303b8	common_voice_fr_22096905.mp3	Firefox	3	2				fr	Benchmark
2404bfe8c94755dce0330d8695e5cad04222d6fb253d4318d30ab8bc13a9998846c4c0ff3e9f0fe96b335dbb036eee088dc58e2b18f3bc137f6eb9191fe62746	common_voice_fr_22500710.mp3	un	2	1				fr	Benchmark
25b40513274162ed5e5aa055fbbf8d72e77908bfb3de25a4b7d7b350588e78868b11a6eeacaca89e0b5139b525e6658b421aa7978209f2dea5058ab4994d9cd4	common_voice_fr_22120465.mp3	cinq	2	0				fr	Benchmark
2d2a11d73479e7d57c870a3214fbb9a226c55e338ac7349f3d2ec004fd9a7ea3cbe3ff47995f49b95bc3aba2845ea712ecaa6e0b9bf18a33a86f0af96c1d6e0c	common_voice_fr_23870238.mp3	Hey	2	0				fr	Benchmark
33ccf8b58a2f555510a4e36fc1862a929ac1ea9446302262381d7147511ee871cba14baaa707be363ca160d46df15bcb1b38684b388104fae8d0b7195f1cd7a0	common_voice_fr_22159222.mp3	neuf	2	1				fr	Benchmark
35030745cc541b784679cdc96cb5c836b7cdea8af50e02511636995908ceca04b2f00f52adc6608ce4a853606c7bb10d02f1400e795b6d85a7ce30db22c6983c	common_voice_fr_22073305.mp3	six	3	1				fr	Benchmark
3507c91f28773a4699fb19afbfc61b0c8ecfbc62a0fa12a188691ff7330ede3543629156254b1899cce69c45438003f1d4358200ae232ad7c3bc683e24d78a0d	common_voice_fr_22166129.mp3	Hey	2	0				fr	Benchmark
36bed514ab88ba8836cd6607840b4c103b893656c77a61c96af67603b0d8069f30c1ddbbdd59e759e3ea42aa1b219c71900fdcee533e666c71060a34f5b00ea0	common_voice_fr_22678399.mp3	Hey	2	0				fr	Benchmark
3829394e3b7aba5c0fcbfc149fe91e9b63eda4d5cc841318cd88dea7a794bbe30dd7a4f487b6a041391a00bdb0afb16a00e03e8d93fa563c61f5dcf6c81cd17f	common_voice_fr_22026942.mp3	cinq	2	0		female		fr	Benchmark
43c1082617d38ab8f1292edb2b5826559ba9e8b9809fc9ede9f06a049ad756e5e92a3a227d8292ee3d5b14f2e6e9c9ca53e0f2c7428f344f64018e4c69385032	common_voice_fr_21964070.mp3	non	2	1				fr	Benchmark
45e444eedb87053c5308862c9938b2d2769f2dc1ad1d7c7f73f692d2037ed90a0f2c63d82d30ed6f3a6085a1ad5a172f2d21121f3b4c84c41f91aee99c329fd0	common_voice_fr_22357111.mp3	trois	2	0	twenties	male	belgium	fr	Benchmark
46694824216e27b4e0564079c7d120c38af129697d14769b6e36fed88ecd320eb6fc148255f32219669cb826e55f61ab14c925b739d064a4375d8981d16b63d2	common_voice_fr_22168813.mp3	sept	2	0				fr	Benchmark
493ad85d5ca5d0e7a312ac14fe9634d0b1ff25b28fef9290db153a4fd533b76211f373b576e0c28ee8cfeceb9ff7826269f270b449469e168d986d687519ddfe	common_voice_fr_22081408.mp3	six	2	0				fr	Benchmark
